City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,titay,7.8125,122.5344,303.35,65,97,1.88,PH,1682305522
83,aasiaat,68.7098,-52.8699,272.12,99,100,1.82,GL,1682305523
84,avarua,-21.2078,-159.775,299.18,61,57,4.63,CK,1682305524
85,nova sintra,14.8667,-24.7167,293.29,75,3,10.81,CV,1682305524
86,susuman,62.7833,148.1667,270.05,72,100,7.61,RU,1682305525
87,asmara,15.3333,38.9333,288.96,62,5,0.36,ER,1682305526
88,peterborough,52.5736,-0.2478,279.44,87,20,4.12,GB,1682305477
89,cabo san lucas,22.8909,-109.9124,298.76,64,20,2.06,MX,1682305468
90,taltal,-25.4,-70.4833,290.92,83,0,1.32,CL,1682305528
91,jamestown,42.097,-79.2353,278.92,87,100,2.06,US,1682305528
92,tamiahua,21.2667,-97.45,298.59,97,44,5.99,MX,1682305529
93,kirensk,57.7853,108.1119,275.23,53,28,2.36,RU,1682305530
94,puerto madryn,-42.7692,-65.0385,291.54,46,100,4.33,AR,1682305530
95,heunghae,36.1125,129.3522,287.18,48,100,5.4,KR,1682305531
96,iqaluit,63.7506,-68.5145,274.0,93,100,1.03,CA,1682305532
97,ciudad guayana,8.3533,-62.6528,297.88,95,93,1.13,VE,1682305533
98,saldanha,-33.0117,17.9442,289.18,96,100,5.41,ZA,1682305533
99,hermanus,-34.4187,19.2345,292.48,94,100,3.52,ZA,1682305534
100,coruripe,-10.1256,-36.1756,298.07,80,59,3.18,BR,1682305535
101,coshocton,40.272,-81.8596,279.34,72,93,2.17,US,1682305496
102,west island,-12.1568,96.8225,301.14,83,40,6.17,CC,1682305537
103,albany,42.6001,-73.9662,279.94,84,100,4.92,US,1682305249
104,beyneu,45.3167,55.2,290.21,43,47,6.61,KZ,1682305538
105,oranjemund,-28.55,16.4333,288.58,72,100,3.0,NA,1682305539
106,utrik,11.2278,169.8474,300.21,82,32,9.3,MH,1682305539
107,santa ana,33.7456,-117.8678,293.35,83,40,4.63,US,1682305540
108,lorengau,-2.0226,147.2712,302.93,71,99,4.09,PG,1682305295
109,queenstown,-31.8976,26.8753,289.45,48,100,2.59,ZA,1682305385
110,la'ie,21.6477,-157.9253,300.13,69,99,1.18,US,1682305541
111,tadine,-21.55,167.8833,299.53,75,48,4.73,NC,1682305541
112,sibay,52.7181,58.6658,282.23,59,11,2.69,RU,1682305334
113,el fasher,13.6279,25.3494,298.71,44,60,3.43,SD,1682305542
114,klyuchi,52.2667,79.1667,285.83,41,28,8.82,RU,1682305542
115,labrador city,52.9463,-66.9114,273.1,80,0,2.06,CA,1682305543
116,kearney,40.6995,-99.0815,279.96,40,0,3.6,US,1682305543
